time,Normal,Kalman
113,22.561,20.5183
114,25.5539,29.4109
115,23.7697,19.3132
116,17.1172,12.53
117,22.8254,16.1245
118,18.0278,14.0357
119,18.1108,14.3178
120,20.6155,17.72
121,19.0263,18.4391
122,20.0998,22.3607
123,22.4722,23.3452
124,19.2354,13.6015
125,34.8281,37.1618
126,16.1245,18.7883
127,30.8058,33.8378
128,13.3417,17
129,12.0416,10.6301
130,11.6619,11.7047
131,17.0294,23.7065
132,20.6155,12.53
133,18.3576,13
134,11.4018,7.07107
135,25.02,22.0227
136,14.3178,13
137,9.21954,5.38516
138,19.6469,22.3607
139,19.6977,21.0238
140,18.1108,12.1655
141,16.2788,18.7883
142,12.2066,18.1108
143,9.05539,9.05539
144,14.8661,5.38516
145,15.2315,24.1868
146,10.198,2.82843
147,27.0185,17.8045
148,19.799,13.4536
149,19.7231,15.2315
150,22.8035,19.3132
151,22.0227,22.8035
152,21.0238,15.6205
153,23.0868,17.088
154,11.1803,7.2111
155,28.2843,29.0689
156,24.0416,21.9317
157,15.5242,17.2047
158,15.6525,12.53
159,17.6918,8.24621
160,23.3238,17.4929
161,21.0238,17.0294
162,16.0312,12.0416
163,29.1548,26.9258
164,16.2788,16.0312
165,16.1555,12.0416
166,24.4131,25.2982
167,14.0357,14.8661
168,27.1662,21.9317
169,17.2047,9.21954
170,15.8114,10.2956
171,19.0263,16
172,18.1108,15
173,22.0227,21.1896
174,16.1245,4.12311
175,28.3019,26.4008
176,17.1172,18.3848
177,24.7386,27.7308
178,15.2643,17
179,24.1868,27.2947
180,17.8045,18.9737
181,12.2066,14.1421
182,16.4924,15.6205
183,13.9284,6.32456
184,20.8087,14.2127
185,9.48683,8.06226
186,24.0832,32.7567
187,13.6015,13.6015
188,17.2047,21.587
189,21.4009,22.8473
190,19.4165,18.3576
191,23.5372,28.0179
192,30.4631,31.0161
193,25.807,28.0179
194,16.5529,18.9737
195,27.6586,28.0179
196,42.5441,40.8167
197,35.3553,36.8782
198,39.8246,41.1461
199,40.4969,41.4367
200,30.2655,30.0666
201,40.8044,42.45
202,31.4006,31.5753
203,34.7851,36.0555
204,30.2655,31.4006
205,27.8568,24.7386
206,18.6011,18.0278
207,9.43398,11.1803
208,24.2074,24.1868
209,24.6982,22.8035
210,22.561,24.0416
211,23.4094,24.3516
212,23.0217,22.0227
213,28.2843,27.6586
214,50.01,47.5184
215,24.0832,21.4009
216,28.6356,26.5707
217,21.9317,19.8494
218,19.9249,18.0278
219,13.0384,12.1655
220,20.2485,18.3576
221,14.4222,12.2066
222,29.0689,26.2488
223,29.1548,24.6982
224,8.48528,7.81025
225,18.0278,16.7631
226,24,21.0238
227,7.28011,5.65685
228,20.025,18.2483
229,17.2627,16.4924
230,23.0868,21.8403
231,17.4642,17.1172
232,23.5372,23.1948
233,30.4138,29.4279
234,30.4631,27.7308
235,27.8568,26
236,33.3017,31.1448
237,40.6079,37.2022
238,39.2046,35.2278
239,25.632,24.6982
240,13.9284,11.1803
241,13.0384,12.083
242,18.3848,18.9737
243,27.0185,27.0185
244,14.8661,16.4012
245,19.4165,17.4929
246,44.2832,41.1947
247,18.9737,14.8661
248,15.8114,12.083
249,33.4215,30
